food_name,serving_desc,serving_size,serving_size_unit
"Milk, human",1 cup,246,g
"Milk, human",1 fl oz,30.8,g
"Milk, NFS",1 cup,244,g
"Milk, NFS",1 fl oz,30.5,g
"Milk, NFS",1 individual school container,244,g
"Milk, NFS",Guideline amount per fl oz of beverage,2.5,g
"Milk, NFS",Guideline amount per cup of hot cereal,61,g
"Milk, whole",1 cup,244,g
"Milk, whole",1 fl oz,30.5,g
"Milk, whole",1 individual school container,244,g
"Milk, whole",Guideline amount per fl oz of beverage,2.5,g
"Milk, whole",Guideline amount per cup of hot cereal,61,g
"Milk, low sodium, whole",1 cup,244,g
"Milk, low sodium, whole",1 fl oz,30.5,g
"Milk, low sodium, whole",Guideline amount per fl oz of beverage,2.5,g
"Milk, low sodium, whole",Guideline amount per cup of hot cereal,61,g
"Milk, calcium fortified, whole",1 cup,244,g
"Milk, calcium fortified, whole",1 fl oz,30.5,g
"Milk, calcium fortified, whole",Guideline amount per fl oz of beverage,2.5,g
"Milk, calcium fortified, whole",Guideline amount per cup of hot cereal,61,g
"Milk, calcium fortified, low fat (1%)",1 cup,244,g
"Milk, calcium fortified, low fat (1%)",1 fl oz,30.5,g
"Milk, calcium fortified, low fat (1%)",Guideline amount per fl oz of beverage,2.5,g
"Milk, calcium fortified, low fat (1%)",Guideline amount per cup of hot cereal,61,g
"Milk, calcium fortified, fat free (skim)",1 cup,244,g
"Milk, calcium fortified, fat free (skim)",1 fl oz,30.5,g
"Milk, calcium fortified, fat free (skim)",Guideline amount per fl oz of beverage,2.5,g
"Milk, calcium fortified, fat free (skim)",Guideline amount per cup of hot cereal,61,g
"Milk, reduced fat (2%)",1 cup,244,g
"Milk, reduced fat (2%)",1 fl oz,30.5,g
"Milk, reduced fat (2%)",1 individual school container,244,g
"Milk, reduced fat (2%)",Guideline amount per fl oz of beverage,2.5,g
"Milk, reduced fat (2%)",Guideline amount per cup of hot cereal,61,g
"Milk, acidophilus, low fat (1%)",1 cup,244,g
"Milk, acidophilus, low fat (1%)",1 fl oz,30.5,g
"Milk, acidophilus, low fat (1%)",Guideline amount per fl oz of beverage,2.5,g
"Milk, acidophilus, low fat (1%)",Guideline amount per cup of hot cereal,61,g
"Milk, acidophilus, reduced fat (2%)",1 cup,244,g
