food_name|description|energy|protein|total_fat|saturated_fat|dietary_fibre|carbohydrate|cholesterol|sodium
2-in-1 coffee powder, with creamer|Instant coffee with creamer, no sugar|56.28 kcal|0.82 g|2.44 g|1.95 g|0.46 g|7.79 g|0.16 mg|23.04 mg
2-in-1 coffee powder, with sugar|Instant coffee with sugar|60.6 kcal|0.87 g|0.45 g|0.2 g|1.2 g|13.28 g|NA|21.15 mg
3 in 1 ready to drink coffee instant||81.6 kcal|2.4 g|1.92 g|1.3 g|0.24 g|14.16 g|3.36 mg|112.8 mg
3-in-1 cereal|Flakes of whole wheat, rice, malt extract with non-dairy creamer, sugar and calcium phosphate added, commercial packed|89.1 kcal|2.37 g|3.03 g|1.74 g|1.17 g|13.11 g|1.8 mg|134.1 mg
3-in-1 coffee powder|Coffee powder with non-dairy creamer and sugar added, commercial packet|65.4 kcal|1.13 g|2.62 g|2.22 g|NA|9.31 g|0.5 mg|12.94 mg
3-in-1 coffee powder, less sugar, low fat (HCS)||73.19 kcal|0.77 g|1.24 g|0.72 g|0.54 g|14.74 g|NA|8.51 mg
3-in-1 coffee powder, low sugar||73.19 kcal|0.77 g|1.24 g|0.72 g|0.54 g|14.74 g|NA|8.51 mg
3-in-1 instant cereal (HCS)|Mixed cereal (wheat, corn, rice), with non-dairy creamer and sugar|79.2 kcal|1.41 g|2.82 g|2.6 g|1.68 g|12.06 g|NA|75.9 mg
3-in-1 tea, powder||58.33 kcal|0.7 g|1.75 g|1.18 g|0.61 g|9.92 g|1.14 mg|23.94 mg
4 in 1 brown rice cereal||126 kcal|1.5 g|2.49 g|1.8 g|1.11 g|24.99 g|NA|84 mg
6-Inch Hearty Italian Bread, Subway||205.19 kcal|7.1 g|2.5 g|0.8 g|2 g|37 g|NA|296.07 mg
6-Inch Honey Oat Bread, Subway||231.2 kcal|8.8 g|2.9 g|0.56 g|4 g|39 g|NA|324.8 mg
6-Inch Italian (white) Bread, Subway||192.29 kcal|6.7 g|2.4 g|0.8 g|2 g|34 g|NA|296.14 mg
6-Inch Parmesan Oregano Bread, Subway||205.9 kcal|7.81 g|2.9 g|1 g|2 g|36 g|NA|421.03 mg
6-Inch Wheat Bread, Subway||189.75 kcal|8.28 g|2.6 g|0.9 g|3 g|32 g|NA|280.83 mg
6-inch Ham Sandwich, Subway|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|263.52 kcal|17.28 g|4.6 g|1.6 g|4 g|37 g|25.92 mg|1069.2 mg
6-inch Italian BMT Sandwich, Subway|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|426.36 kcal|22.8 g|20 g|8.3 g|3.99 g|38.01 g|54.72 mg|1605.12 mg
6-inch Meatball Marinara Sandwich, Subway|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|471.21 kcal|20.34 g|20 g|8 g|4.98 g|52.99 g|67.8 mg|1223.79 mg
6-inch Oven Roasted Chicken Breast Sandwich, Subway|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|305.9 kcal|23 g|5.29 g|1.61 g|5.06 g|40.94 g|23 mg|807.3 mg
6-inch Roast Beef Sandwich, Subway|6-inch sandwich with 6g of fats or less. Values include wheat bread, lettuce, tomatoes, onions, green peppers, pickles and olives.|270.9 kcal|18.9 g|4.49 g|1.7 g|3.99 g|38.01 g|71.4 mg|648.9 mg
6-inch Spicy Italian Sandwich, Subway|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|497.28 kcal|22.4 g|28 g|11.29 g|5 g|38.08 g|62.72 mg|1693.44 mg
6-inch Steak and Cheese Sandwich, Subway|6-inch Sandwich. Values include wheat bread, cheese, lettuce, tomatoes, onions, green peppers, pickles and olives.|394.2 kcal|27 g|11.99 g|5.4 g|5 g|42.01 g|56.7 mg|1085.4 mg
