ingredient_name,serving_size,serving_size_unit,10:0,10:0_unit,12:0,12:0_unit,14:0,14:0_unit,16:0,16:0_unit,16:1,16:1_unit,18:0,18:0_unit,18:1,18:1_unit,18:2,18:2_unit,18:3,18:3_unit,18:4,18:4_unit,20:1,20:1_unit,20:4,20:4_unit,20:5_n-3,20:5_n-3_unit,22:1,22:1_unit,22:5_n-3,22:5_n-3_unit,22:6_n-3,22:6_n-3_unit,4:0,4:0_unit,6:0,6:0_unit,8:0,8:0_unit,alcohol,alcohol_unit,caffeine,caffeine_unit,calcium,calcium_unit,carbohydrate,carbohydrate_unit,carotene_alpha,carotene_alpha_unit,carotene_beta,carotene_beta_unit,cholesterol,cholesterol_unit,choline_total,choline_total_unit,copper,copper_unit,cryptoxanthin_beta,cryptoxanthin_beta_unit,energy,energy_unit,fatty_acids_total_monounsaturated,fatty_acids_total_monounsaturated_unit,fatty_acids_total_polyunsaturated,fatty_acids_total_polyunsaturated_unit,fatty_acids_total_saturated,fatty_acids_total_saturated_unit,fiber_total_dietary,fiber_total_dietary_unit,folate_dfe,folate_dfe_unit,folate_food,folate_food_unit,folate_total,folate_total_unit,folic_acid,folic_acid_unit,iron,iron_unit,lutein+zeaxanthin,lutein+zeaxanthin_unit,lycopene,lycopene_unit,magnesium,magnesium_unit,niacin,niacin_unit,phosphorus,phosphorus_unit,potassium,potassium_unit,protein,protein_unit,retinol,retinol_unit,riboflavin,riboflavin_unit,selenium,selenium_unit,sodium,sodium_unit,sugars_total,sugars_total_unit,theobromine,theobromine_unit,thiamin,thiamin_unit,total_fat,total_fat_unit,vitamin_a_rae,vitamin_a_rae_unit,vitamin_b-12,vitamin_b-12_unit,vitamin_b-12_added,vitamin_b-12_added_unit,vitamin_b-6,vitamin_b-6_unit,vitamin_c,vitamin_c_unit,vitamin_d_(d2+d3),vitamin_d_(d2+d3)_unit,vitamin_e_(alpha-tocopherol),vitamin_e_(alpha-tocopherol)_unit,vitamin_e_added,vitamin_e_added_unit,vitamin_k_(phylloquinone),vitamin_k_(phylloquinone)_unit,water,water_unit,zinc,zinc_unit
"Butter, salted",100,g,2.529,g,2.587,g,7.436,g,21.697,g,0.961,g,9.999,g,19.961,g,2.728,g,0.315,g,0.0,g,0.1,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3.226,g,2.007,g,1.19,g,0.0,g,0.0,mg,24.0,mg,0.06,g,0.0,mcg,158.0,mcg,215.0,mg,18.8,mg,0.0,mg,0.0,mcg,717.0,kcal,21.021,g,3.043,g,51.368,g,0.0,g,3.0,mcg_DFE,3.0,mcg,3.0,mcg,0.0,mcg,0.02,mg,0.0,mcg,0.0,mcg,2.0,mg,0.042,mg,24.0,mg,24.0,mg,0.85,g,671.0,mcg,0.034,mg,1.0,mcg,643.0,mg,0.06,g,0.0,mg,0.005,mg,81.11,g,684.0,mcg_RAE,0.17,mcg,0.0,mcg,0.003,mg,0.0,mg,0.0,mcg,2.32,mg,0.0,mg,7.0,mcg,16.17,g,0.09,mg
"Butter, whipped, with salt",100,g,2.039,g,2.354,g,7.515,g,20.531,g,1.417,g,7.649,g,17.37,g,2.713,g,0.298,g,0.003,g,0.147,g,0.119,g,0.022,g,0.005,g,0.045,g,0.003,g,1.635,g,1.373,g,0.858,g,0.0,g,0.0,mg,23.0,mg,0.0,g,1.0,mcg,135.0,mcg,225.0,mg,18.8,mg,0.01,mg,6.0,mcg,731.0,kcal,19.874,g,3.331,g,45.39,g,0.0,g,4.0,mcg_DFE,4.0,mcg,4.0,mcg,0.0,mcg,0.05,mg,13.0,mcg,0.0,mcg,1.0,mg,0.022,mg,24.0,mg,41.0,mg,0.49,g,671.0,mcg,0.064,mg,0.0,mcg,583.0,mg,0.06,g,0.0,mg,0.007,mg,78.3,g,683.0,mcg_RAE,0.07,mcg,0.0,mcg,0.008,mg,0.0,mg,0.0,mcg,1.37,mg,0.0,mg,4.6,mcg,16.72,g,0.05,mg
"Butter oil, anhydrous",100,g,2.495,g,2.793,g,10.005,g,26.166,g,2.228,g,12.056,g,25.026,g,2.247,g,1.447,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,3.226,g,1.91,g,1.112,g,0.0,g,0.0,mg,4.0,mg,0.0,g,0.0,mcg,193.0,mcg,256.0,mg,22.3,mg,0.001,mg,0.0,mcg,876.0,kcal,28.732,g,3.694,g,61.924,g,0.0,g,0.0,mcg_DFE,0.0,mcg,0.0,mcg,0.0,mcg,0.0,mg,0.0,mcg,0.0,mcg,0.0,mg,0.003,mg,3.0,mg,5.0,mg,0.28,g,824.0,mcg,0.005,mg,0.0,mcg,2.0,mg,0.0,g,0.0,mg,0.001,mg,99.48,g,840.0,mcg_RAE,0.01,mcg,0.0,mcg,0.001,mg,0.0,mg,0.0,mcg,2.8,mg,0.0,mg,8.6,mcg,0.24,g,0.01,mg
"Cheese, blue",100,g,0.601,g,0.491,g,3.301,g,9.153,g,0.816,g,3.235,g,6.622,g,0.536,g,0.264,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.658,g,0.361,g,0.247,g,0.0,g,0.0,mg,528.0,mg,2.34,g,0.0,mcg,74.0,mcg,75.0,mg,15.4,mg,0.04,mg,0.0,mcg,353.0,kcal,7.778,g,0.8,g,18.669,g,0.0,g,36.0,mcg_DFE,36.0,mcg,36.0,mcg,0.0,mcg,0.31,mg,0.0,mcg,0.0,mcg,23.0,mg,1.016,mg,387.0,mg,256.0,mg,21.4,g,192.0,mcg,0.382,mg,14.5,mcg,1146.0,mg,0.5,g,0.0,mg,0.029,mg,28.74,g,198.0,mcg_RAE,1.22,mcg,0.0,mcg,0.166,mg,0.0,mg,0.5,mcg,0.25,mg,0.0,mg,2.4,mcg,42.41,g,2.66,mg
"Cheese, brick",100,g,0.585,g,0.482,g,3.227,g,8.655,g,0.817,g,3.455,g,7.401,g,0.491,g,0.293,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.914,g,0.373,g,0.299,g,0.0,g,0.0,mg,674.0,mg,2.79,g,0.0,mcg,76.0,mcg,94.0,mg,15.4,mg,0.024,mg,0.0,mcg,371.0,kcal,8.598,g,0.784,g,18.764,g,0.0,g,20.0,mcg_DFE,20.0,mcg,20.0,mcg,0.0,mcg,0.43,mg,0.0,mcg,0.0,mcg,24.0,mg,0.118,mg,451.0,mg,136.0,mg,23.24,g,286.0,mcg,0.351,mg,14.5,mcg,560.0,mg,0.51,g,0.0,mg,0.014,mg,29.68,g,292.0,mcg_RAE,1.26,mcg,0.0,mcg,0.065,mg,0.0,mg,0.5,mcg,0.26,mg,0.0,mg,2.5,mcg,41.11,g,2.6,mg
"Cheese, brie",100,g,0.673,g,0.504,g,3.065,g,8.246,g,1.007,g,2.88,g,6.563,g,0.513,g,0.313,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.564,g,0.323,g,0.297,g,0.0,g,0.0,mg,184.0,mg,0.45,g,0.0,mcg,9.0,mcg,100.0,mg,15.4,mg,0.019,mg,0.0,mcg,334.0,kcal,8.013,g,0.826,g,17.41,g,0.0,g,65.0,mcg_DFE,65.0,mcg,65.0,mcg,0.0,mcg,0.5,mg,0.0,mcg,0.0,mcg,20.0,mg,0.38,mg,188.0,mg,152.0,mg,20.75,g,173.0,mcg,0.52,mg,14.5,mcg,629.0,mg,0.45,g,0.0,mg,0.07,mg,27.68,g,174.0,mcg_RAE,1.65,mcg,0.0,mcg,0.235,mg,0.0,mg,0.5,mcg,0.24,mg,0.0,mg,2.3,mcg,48.42,g,2.38,mg
"Cheese, camembert",100,g,0.59,g,0.442,g,2.686,g,7.227,g,0.883,g,2.524,g,5.752,g,0.45,g,0.274,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.494,g,0.283,g,0.26,g,0.0,g,0.0,mg,388.0,mg,0.46,g,0.0,mcg,12.0,mcg,72.0,mg,15.4,mg,0.021,mg,0.0,mcg,300.0,kcal,7.023,g,0.724,g,15.259,g,0.0,g,62.0,mcg_DFE,62.0,mcg,62.0,mcg,0.0,mcg,0.33,mg,0.0,mcg,0.0,mcg,20.0,mg,0.63,mg,347.0,mg,187.0,mg,19.8,g,240.0,mcg,0.488,mg,14.5,mcg,842.0,mg,0.46,g,0.0,mg,0.028,mg,24.26,g,241.0,mcg_RAE,1.3,mcg,0.0,mcg,0.227,mg,0.0,mg,0.4,mcg,0.21,mg,0.0,mg,2.0,mcg,51.8,g,2.38,mg
"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",100,g,0.843,g,0.963,g,3.1,g,8.79,g,0.516,g,3.39,g,7.41,g,1.16,g,0.121,g,0.001,g,0.064,g,0.051,g,0.01,g,0.001,g,0.018,g,0.001,g,0.653,g,0.543,g,0.349,g,0.0,g,0.0,mg,707.0,mg,2.44,g,0.0,mcg,0.0,mcg,100.0,mg,16.5,mg,0.033,mg,0.0,mcg,408.0,kcal,7.44,g,1.18,g,19.2,g,0.0,g,21.0,mcg_DFE,21.0,mcg,21.0,mcg,0.0,mcg,0.16,mg,0.0,mcg,0.0,mcg,26.8,mg,0.052,mg,458.0,mg,77.0,mg,23.3,g,316.0,mcg,0.441,mg,28.3,mcg,654.0,mg,0.33,g,0.0,mg,0.029,mg,34.0,g,316.0,mcg_RAE,1.06,mcg,0.0,mcg,0.069,mg,0.0,mg,0.6,mcg,0.75,mg,0.0,mg,2.4,mcg,36.6,g,3.67,mg
"Cheese, colby",100,g,0.597,g,0.422,g,3.831,g,8.232,g,0.979,g,3.63,g,7.813,g,0.676,g,0.277,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,1.041,g,0.259,g,0.324,g,0.0,g,0.0,mg,685.0,mg,2.57,g,0.0,mcg,82.0,mcg,95.0,mg,15.4,mg,0.042,mg,0.0,mcg,394.0,kcal,9.28,g,0.953,g,20.218,g,0.0,g,18.0,mcg_DFE,18.0,mcg,18.0,mcg,0.0,mcg,0.76,mg,0.0,mcg,0.0,mcg,26.0,mg,0.093,mg,457.0,mg,127.0,mg,23.76,g,257.0,mcg,0.375,mg,14.5,mcg,604.0,mg,0.52,g,0.0,mg,0.015,mg,32.11,g,264.0,mcg_RAE,0.83,mcg,0.0,mcg,0.079,mg,0.0,mg,0.6,mcg,0.28,mg,0.0,mg,2.7,mcg,38.2,g,3.07,mg
"Cheese, cottage, creamed, large or small curd",100,g,0.064,g,0.07,g,0.263,g,0.778,g,0.047,g,0.345,g,0.714,g,0.105,g,0.017,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.0,g,0.109,g,0.025,g,0.023,g,0.0,g,0.0,mg,83.0,mg,3.38,g,0.0,mcg,12.0,mcg,17.0,mg,18.4,mg,0.029,mg,0.0,mcg,98.0,kcal,0.778,g,0.123,g,1.718,g,0.0,g,12.0,mcg_DFE,12.0,mcg,12.0,mcg,0.0,mcg,0.07,mg,0.0,mcg,0.0,mcg,8.0,mg,0.099,mg,159.0,mg,104.0,mg,11.12,g,36.0,mcg,0.163,mg,9.7,mcg,315.0,mg,2.67,g,0.0,mg,0.027,mg,4.3,g,37.0,mcg_RAE,0.43,mcg,0.0,mcg,0.046,mg,0.0,mg,0.1,mcg,0.08,mg,0.0,mg,0.0,mcg,79.79,g,0.4,mg
