ingredient_name|serving_size|serving_size_unit|description|energy|energy_unit|protein|protein_unit|total_fat|total_fat_unit|saturated_fat|saturated_fat_unit|dietary_fibre|dietary_fibre_unit|carbohydrate|carbohydrate_unit|cholesterol|cholesterol_unit|sodium|sodium_unit
Abalone, raw|64|g||15.62|kcal|3.33|g|0.1|g|0.05|g|||0.15|g|30.98|mg|122.88|mg
Anchovy, minus head and entrail, dried, raw|.3|g||0.79|kcal|0.18|g|0.01|g|0|g|||0|g|0.58|mg|11.91|mg
Anchovy, whole, dried, raw|.1|g||0.26|kcal|0.06|g|0|g|0|g|||0|g|0.06|mg|0.36|mg
Apple, green, raw, with peel, core and stalk|156|g|Apple, granny smith, raw with peel; epal hijau berkulit|70.73|kcal|0.43|g|0|g|0|g|3.3|g|15.36|g|||2.87|mg
Apple, red, raw, with peel, core and stalk|185|g|Apple, delicious, raw, with peel|96.09|kcal|0.51|g|0|g|0|g|3.74|g|21.79|g|||1.7|mg
Apple, unspecified type, red, raw, with skin|150|g|Averaged weighted results of red skinned apples including red delicious, jonathon, bonza, pink lady and fuji.|79.24|kcal|0.41|g|0.28|g|||3.17|g|16.84|g|||1.38|mg
Apples, raw, without skin|139|g||61.38|kcal|0.35|g|0.17|g|0.03|g|1.66|g|16.32|g||||
Arugula, raw|20|g||5|kcal|0.52|g|0.13|g|0.02|g|0.32|g|0.41|g|||5.4|mg
Asparagus, fresh, raw|9.8|g|long xu cai; lu sun, lu shun, lu sum|2.09|kcal|0.25|g|0.01|g|0|g|0.23|g|0.14|g|||0.2|mg
Avocados, raw, all commercial varieties|272|g||322.05|kcal|4.03|g|29.51|g|4.28|g|13.49|g|17.17|g|||14.09|mg
Baby corn, raw|145|g|Young, immature ear|42.05|kcal|3.33|g|0.29|g|0.04|g|3.92|g|8.7|g||||
Bacon, raw|21|g||96.18|kcal|2.44|g|9.46|g|3.15|g|||0.14|g|14.28|mg|174.93|mg
Bamboo shoots, raw|81|g||7.26|kcal|0.5|g|0.14|g|||0.18|g|1|g|||4.31|mg
Banana, raw, unspecified type|118|g||67.21|kcal|0.83|g|0.25|g|0.08|g|1.96|g|17.22|g|||0.76|mg
Barley, pearl, raw|14|g||46.9|kcal|1.29|g|0.18|g|0.03|g|1.6|g|10.04|g|||0.28|mg
Bass, sharptooth, raw|215|g||95.95|kcal|20.85|g|1.34|g|||||||||54.7|mg
Batang, raw|116|g|Raw batang fish|110.72|kcal|20.03|g|3.47|g|1.7|g|||||26.96|mg|95.32|mg
Bay leaf, raw|1.8|g||5.63|kcal|0.14|g|0.15|g|0.04|g|0.47|g|0.88|g|||0.41|mg
Bean sprouts, raw|62.67|g|Dou ya cai; taugeh; tau nga choi|12.6|kcal|1.69|g|0.06|g|||1|g|0.88|g|||0.63|mg
Bean, broad, raw|8|g|Fava bean|4.27|kcal|0.54|g|0.04|g|||0.55|g|0.17|g|||0.31|mg
Beans, four angled, raw|62|g||17.92|kcal|1.49|g|0.12|g|0|g|1.25|g|2.74|g|||1.79|mg
Beans, french, raw|82|g|Si ji dou; kacang buncis; kacang pendek; bunchi kai; or-kui-tau|22.74|kcal|1.87|g|0.16|g|||2.41|g|2.1|g|||1.56|mg
Beans, hyacinth beans, immature seeds, raw|86|g||36.79|kcal|1.68|g|0.16|g|0.07|g|||7.35|g|||1.6|mg
Beans, kidney, red, mature seeds, raw|184|g||620.08|kcal|41.4|g|2.02|g|0.28|g|27.97|g|112.79|g|||22.08|mg
Beans, navy, mature seeds, raw|208|g||705.12|kcal|40.96|g|3.12|g|0.35|g|31.82|g|131.85|g|||10.4|mg
Beef patty, raw|74|g||186.48|kcal|16.65|g|11.69|g|4.56|g|||3.63|g|69.56|mg|307.84|mg
Beef, blade steak, raw, lean and fat|230|g|Raw meat as purchased without removal of any separable fats.|330|kcal|40.57|g|18.74|g|6.96|g|||||92.74|mg|100.46|mg
