recipe_name,recipe_category,servings,serving_size,serving_size_unit,ingredient_name,ingredient_amount,ingredient_unit
"Milk, human",Human milk,1,100.0,g,"Milk, human, mature, fluid",100.0,g
"Milk, NFS","Milk, reduced fat",1,100.0,g,"Milk, whole, 3.25% milkfat, with added vitamin D",35.0,g
"Milk, NFS","Milk, reduced fat",1,100.0,g,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",37.0,g
"Milk, NFS","Milk, reduced fat",1,100.0,g,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",17.0,g
"Milk, NFS","Milk, reduced fat",1,100.0,g,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",11.0,g
"Milk, whole","Milk, whole",1,100.0,g,"Milk, whole, 3.25% milkfat, with added vitamin D",100.0,g
"Milk, low sodium, whole","Milk, whole",1,100.0,g,"Milk, low sodium, fluid",100.0,g
"Milk, calcium fortified, whole","Milk, whole",1,100.0,g,"Milk, whole, 3.25% milkfat, with added vitamin D",100.0,g
"Milk, calcium fortified, low fat (1%)","Milk, lowfat",1,100.0,g,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100.0,g
"Milk, calcium fortified, fat free (skim)","Milk, nonfat",1,100.0,g,"Milk, fluid, nonfat, calcium fortified (fat free or skim)",100.0,g
"Milk, reduced fat (2%)","Milk, reduced fat",1,100.0,g,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",100.0,g
"Milk, acidophilus, low fat (1%)","Milk, lowfat",1,100.0,g,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100.0,g
"Milk, acidophilus, reduced fat (2%)","Milk, reduced fat",1,100.0,g,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",100.0,g
"Milk, low fat (1%)","Milk, lowfat",1,100.0,g,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100.0,g
"Milk, fat free (skim)","Milk, nonfat",1,100.0,g,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",100.0,g
"Milk, lactose free, low fat (1%)","Milk, lowfat",1,100.0,g,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",100.0,g
"Milk, lactose free, fat free (skim)","Milk, nonfat",1,100.0,g,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",100.0,g
"Milk, lactose free, reduced fat (2%)","Milk, reduced fat",1,100.0,g,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",100.0,g
"Milk, lactose free, whole","Milk, whole",1,100.0,g,"Milk, whole, 3.25% milkfat, with added vitamin D",100.0,g
"Buttermilk, fat free (skim)","Milk, nonfat",1,100.0,g,"Milk, buttermilk, fluid, cultured, lowfat",100.0,g
"Buttermilk, low fat (1%)","Milk, lowfat",1,100.0,g,"Milk, buttermilk, fluid, cultured, lowfat",100.0,g
"Buttermilk, reduced fat (2%)","Milk, reduced fat",1,100.0,g,"Milk, buttermilk, fluid, cultured, reduced fat",100.0,g
"Buttermilk, whole","Milk, whole",1,100.0,g,"Milk, buttermilk, fluid, whole",100.0,g
"Kefir, NS as to fat content","Milk, lowfat",1,100.0,g,"Kefir, lowfat, plain, LIFEWAY",50.0,g
"Kefir, NS as to fat content","Milk, lowfat",1,100.0,g,"Kefir, lowfat, strawberry, LIFEWAY",50.0,g
"Goat's milk, whole","Milk, whole",1,100.0,g,"Milk, goat, fluid, with added vitamin D",100.0,g
"Milk, dry, reconstituted, NS as to fat content","Milk, nonfat",1,260.0,g,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",23.0,g
"Milk, dry, reconstituted, NS as to fat content","Milk, nonfat",1,260.0,g,"Beverages, water, tap, drinking",237.0,g
"Milk, dry, reconstituted, whole","Milk, whole",1,279.662,g,"Milk, dry, whole, with added vitamin D",42.662,g
"Milk, dry, reconstituted, whole","Milk, whole",1,279.662,g,"Beverages, water, tap, drinking",237.0,g
"Milk, dry, reconstituted, low fat (1%)","Milk, lowfat",1,262.5,g,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",23.0,g
"Milk, dry, reconstituted, low fat (1%)","Milk, lowfat",1,262.5,g,"Beverages, water, tap, drinking",237.0,g
"Milk, dry, reconstituted, low fat (1%)","Milk, lowfat",1,262.5,g,"Butter oil, anhydrous",2.5,g
"Milk, dry, reconstituted, fat free (skim)","Milk, nonfat",1,260.0,g,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",23.0,g
"Milk, dry, reconstituted, fat free (skim)","Milk, nonfat",1,260.0,g,"Beverages, water, tap, drinking",237.0,g
"Milk, evaporated, NS as to fat content","Milk, whole",1,100.0,g,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",100.0,g
"Milk, evaporated, whole","Milk, whole",1,100.0,g,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",100.0,g
"Milk, evaporated, reduced fat (2%)","Milk, reduced fat",1,101.8,g,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",100.0,g
"Milk, evaporated, reduced fat (2%)","Milk, reduced fat",1,101.8,g,"Butter oil, anhydrous",1.8,g
"Milk, evaporated, fat free (skim)","Milk, nonfat",1,100.0,g,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",100.0,g
"Milk, condensed, sweetened","Flavored milk, whole",1,100.0,g,"Milk, canned, condensed, sweetened",100.0,g
"Non-dairy milk, NFS",Milk substitutes,1,100.0,g,"Almond milk, sweetened",32.0,g
"Non-dairy milk, NFS",Milk substitutes,1,100.0,g,"Beverages, almond milk, unsweetened, shelf stable",32.0,g
"Non-dairy milk, NFS",Milk substitutes,1,100.0,g,"Soymilk, original and vanilla, with added calcium, vitamins A and D",30.0,g
"Non-dairy milk, NFS",Milk substitutes,1,100.0,g,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",6.0,g
Soy milk,Milk substitutes,1,100.0,g,"Soymilk, original and vanilla, with added calcium, vitamins A and D",100.0,g
"Soy milk, light",Milk substitutes,1,100.0,g,"Soymilk, original and vanilla, light, with added calcium, vitamins A and D",100.0,g
"Soy milk, nonfat",Milk substitutes,1,100.0,g,"Soymilk (all flavors), nonfat, with added calcium, vitamins A and D",100.0,g
"Soy milk, chocolate",Milk substitutes,1,100.0,g,"Soymilk, chocolate, with added calcium, vitamins A and D",100.0,g
"Soy milk, light, chocolate",Milk substitutes,1,100.0,g,"Soymilk, chocolate and other flavors, light, with added calcium, vitamins A and D",100.0,g
"Soy milk, nonfat, chocolate",Milk substitutes,1,100.0,g,"Soymilk, chocolate and other flavors, light, with added calcium, vitamins A and D",100.0,g
"Almond milk, sweetened",Milk substitutes,1,100.0,g,"Beverages, almond milk, unsweetened, shelf stable",96.0,g
"Almond milk, sweetened",Milk substitutes,1,100.0,g,"Sugars, granulated",4.0,g
"Almond milk, sweetened, chocolate",Milk substitutes,1,100.3,g,"Beverages, almond milk, unsweetened, shelf stable",93.0,g
"Almond milk, sweetened, chocolate",Milk substitutes,1,100.3,g,"Sugars, granulated",7.0,g
"Almond milk, sweetened, chocolate",Milk substitutes,1,100.3,g,"Cocoa, dry powder, unsweetened",0.3,g
"Almond milk, unsweetened",Milk substitutes,1,100.0,g,"Beverages, almond milk, unsweetened, shelf stable",100.0,g
"Almond milk, unsweetened, chocolate",Milk substitutes,1,100.3,g,"Beverages, almond milk, unsweetened, shelf stable",100.0,g
"Almond milk, unsweetened, chocolate",Milk substitutes,1,100.3,g,"Cocoa, dry powder, unsweetened",0.3,g
Rice milk,Milk substitutes,1,100.0,g,"Beverages, rice milk, unsweetened",100.0,g
Coconut milk,Milk substitutes,1,100.0,g,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",100.0,g
"Yogurt, NFS","Yogurt, regular",1,100.012,g,"Yogurt, plain, low fat",100.0,g
"Yogurt, NFS","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, Greek, NS as to type of milk or flavor","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, plain, lowfat",100.0,g
"Yogurt, NS as to type of milk or flavor","Yogurt, regular",1,100.012,g,"Yogurt, plain, low fat",100.0,g
"Yogurt, NS as to type of milk or flavor","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, NS as to type of milk, plain","Yogurt, regular",1,100.012,g,"Yogurt, plain, low fat",100.0,g
"Yogurt, NS as to type of milk, plain","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, whole milk, plain","Yogurt, regular",1,100.011,g,"Yogurt, plain, whole milk",100.0,g
"Yogurt, whole milk, plain","Yogurt, regular",1,100.011,g,Vitamin D as ingredient,0.011,g
"Yogurt, low fat milk, plain","Yogurt, regular",1,100.012,g,"Yogurt, plain, low fat",100.0,g
"Yogurt, low fat milk, plain","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, nonfat milk, plain","Yogurt, regular",1,100.012,g,"Yogurt, plain, skim milk",100.0,g
"Yogurt, nonfat milk, plain","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, Greek, NS as to type of milk, plain","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, plain, lowfat",100.0,g
"Yogurt, Greek, whole milk, plain","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, plain, whole milk",100.0,g
"Yogurt, Greek, low fat milk, plain","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, plain, lowfat",100.0,g
"Yogurt, Greek, nonfat milk, plain","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",100.0,g
"Yogurt, NS as to type of milk, fruit","Yogurt, regular",1,100.012,g,"Yogurt, plain, low fat",88.0,g
"Yogurt, NS as to type of milk, fruit","Yogurt, regular",1,100.012,g,Jams and preserves,12.0,g
"Yogurt, NS as to type of milk, fruit","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, whole milk, fruit","Yogurt, regular",1,100.011,g,"Yogurt, plain, whole milk",88.0,g
"Yogurt, whole milk, fruit","Yogurt, regular",1,100.011,g,Jams and preserves,12.0,g
"Yogurt, whole milk, fruit","Yogurt, regular",1,100.011,g,Vitamin D as ingredient,0.011,g
"Yogurt, low fat milk, fruit","Yogurt, regular",1,100.012,g,"Yogurt, plain, low fat",88.0,g
"Yogurt, low fat milk, fruit","Yogurt, regular",1,100.012,g,Jams and preserves,12.0,g
"Yogurt, low fat milk, fruit","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, nonfat milk, fruit","Yogurt, regular",1,100.012,g,"Yogurt, plain, skim milk",88.0,g
"Yogurt, nonfat milk, fruit","Yogurt, regular",1,100.012,g,Jams and preserves,12.0,g
"Yogurt, nonfat milk, fruit","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, Greek, NS as to type of milk, fruit","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, strawberry, lowfat",100.0,g
"Yogurt, Greek, whole milk, fruit","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, fruit, whole milk",100.0,g
"Yogurt, Greek, low fat milk, fruit","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, strawberry, lowfat",100.0,g
"Yogurt, Greek, nonfat milk, fruit","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, strawberry, nonfat",100.0,g
"Yogurt, NS as to type of milk, flavors other than fruit","Yogurt, regular",1,100.012,g,"Yogurt, plain, low fat",97.0,g
"Yogurt, NS as to type of milk, flavors other than fruit","Yogurt, regular",1,100.012,g,"Sugars, granulated",3.0,g
"Yogurt, NS as to type of milk, flavors other than fruit","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, whole milk, flavors other than fruit","Yogurt, regular",1,100.011,g,"Yogurt, plain, whole milk",95.0,g
"Yogurt, whole milk, flavors other than fruit","Yogurt, regular",1,100.011,g,"Sugars, granulated",5.0,g
"Yogurt, whole milk, flavors other than fruit","Yogurt, regular",1,100.011,g,Vitamin D as ingredient,0.011,g
"Yogurt, low fat milk, flavors other than fruit","Yogurt, regular",1,100.012,g,"Yogurt, plain, low fat",97.0,g
"Yogurt, low fat milk, flavors other than fruit","Yogurt, regular",1,100.012,g,"Sugars, granulated",3.0,g
"Yogurt, low fat milk, flavors other than fruit","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, nonfat milk, flavors other than fruit","Yogurt, regular",1,100.012,g,"Yogurt, plain, skim milk",97.0,g
"Yogurt, nonfat milk, flavors other than fruit","Yogurt, regular",1,100.012,g,"Sugars, granulated",3.0,g
"Yogurt, nonfat milk, flavors other than fruit","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Yogurt, Greek, NS as to type of milk, flavors other than fruit","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, vanilla, lowfat",100.0,g
"Yogurt, Greek, whole milk, flavors other than fruit","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, vanilla, lowfat",98.0,g
"Yogurt, Greek, whole milk, flavors other than fruit","Yogurt, Greek",1,100.0,g,"Butter oil, anhydrous",2.0,g
"Yogurt, Greek, low fat milk, flavors other than fruit","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, vanilla, lowfat",100.0,g
"Yogurt, Greek, nonfat milk, flavors other than fruit","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, vanilla, nonfat",100.0,g
"Yogurt, Greek, with oats","Yogurt, Greek",1,100.0,g,"Yogurt, Greek, vanilla, lowfat",80.0,g
"Yogurt, Greek, with oats","Yogurt, Greek",1,100.0,g,"Cereal, granola",20.0,g
"Yogurt, liquid","Yogurt, regular",1,100.012,g,"Yogurt, plain, low fat",70.0,g
"Yogurt, liquid","Yogurt, regular",1,100.012,g,"Beverages, water, tap, drinking",20.0,g
"Yogurt, liquid","Yogurt, regular",1,100.012,g,Jams and preserves,10.0,g
"Yogurt, liquid","Yogurt, regular",1,100.012,g,Vitamin D as ingredient,0.012,g
"Chipotle dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Salad dressing, mayonnaise, regular",20.0,g
"Chipotle dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Yogurt, Greek, plain, lowfat",80.0,g
"Chipotle dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Salt, table, iodized",1.3,g
"Chipotle dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Peppers, hot chili, red, raw",2.0,g
"Dill dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Salad dressing, mayonnaise, regular",20.0,g
"Dill dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Yogurt, Greek, plain, lowfat",80.0,g
"Dill dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Salt, table, iodized",1.3,g
"Dill dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Onions, cooked, as ingredient",1.0,g
"Dill dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Spices, parsley, dried",1.0,g
"Onion dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Salad dressing, mayonnaise, regular",20.0,g
"Onion dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Yogurt, Greek, plain, lowfat",80.0,g
"Onion dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Salt, table, iodized",1.3,g
"Onion dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Onions, cooked, as ingredient",10.0,g
"Onion dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Milk, NFS",20.0,g
"Ranch dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Salad dressing, mayonnaise, regular",20.0,g
"Ranch dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Yogurt, Greek, plain, lowfat",80.0,g
"Ranch dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Salt, table, iodized",1.3,g
"Ranch dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Milk, buttermilk, dried",1.0,g
"Ranch dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Spices, parsley, dried",1.0,g
"Spinach dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Salad dressing, mayonnaise, regular",20.0,g
"Spinach dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Yogurt, Greek, plain, lowfat",80.0,g
"Spinach dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Salt, table, iodized",1.3,g
"Spinach dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",10.0,g
"Spinach dip, yogurt based","Dips, gravies, other sauces",1,131.3,g,"Milk, NFS",20.0,g
Tzatziki dip,"Dips, gravies, other sauces",1,810.0,g,"Yogurt, Greek, plain, whole milk",455.0,g
Tzatziki dip,"Dips, gravies, other sauces",1,810.0,g,"Cucumber, with peel, raw",300.0,g
Tzatziki dip,"Dips, gravies, other sauces",1,810.0,g,"Oil, olive, salad or cooking",28.0,g
Tzatziki dip,"Dips, gravies, other sauces",1,810.0,g,"Lemon juice, raw",15.0,g
Tzatziki dip,"Dips, gravies, other sauces",1,810.0,g,"Salt, table, iodized",6.0,g
Tzatziki dip,"Dips, gravies, other sauces",1,810.0,g,"Garlic, raw",6.0,g
"Vegetable dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Salad dressing, mayonnaise, regular",20.0,g
"Vegetable dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Yogurt, Greek, plain, lowfat",80.0,g
"Vegetable dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Salt, table, iodized",1.3,g
"Vegetable dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Onions, cooked, as ingredient",1.0,g
"Vegetable dip, yogurt based","Dips, gravies, other sauces",1,103.3,g,"Spices, parsley, dried",1.0,g
"Yogurt parfait, low fat, with fruit","Yogurt, regular",1,100.011,g,"Yogurt parfait, lowfat, with fruit and granola",100.0,g
"Yogurt parfait, low fat, with fruit","Yogurt, regular",1,100.011,g,Vitamin D as ingredient,0.011,g
"Frozen yogurt, NFS",Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, flavors other than chocolate",100.0,g
"Frozen yogurt, vanilla",Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, flavors other than chocolate",100.0,g
"Frozen yogurt, chocolate",Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, chocolate",100.0,g
"Frozen yogurt, soft serve, vanilla",Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, vanilla, soft-serve",100.0,g
"Frozen yogurt, soft serve, chocolate",Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, vanilla, soft-serve",98.0,g
"Frozen yogurt, soft serve, chocolate",Ice cream and frozen dairy desserts,1,100.0,g,"Cocoa, dry powder, unsweetened",2.0,g
Frozen yogurt sandwich,Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, flavors other than chocolate",75.0,g
Frozen yogurt sandwich,Ice cream and frozen dairy desserts,1,100.0,g,"Cookies, chocolate wafers",25.0,g
"Frozen yogurt bar, vanilla",Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, flavors other than chocolate",100.0,g
"Frozen yogurt bar, chocolate",Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, chocolate",100.0,g
"Frozen yogurt cone, chocolate",Ice cream and frozen dairy desserts,1,125.0,g,"Frozen yogurts, chocolate",120.0,g
"Frozen yogurt cone, chocolate",Ice cream and frozen dairy desserts,1,125.0,g,"Ice cream cones, cake or wafer-type",5.0,g
"Frozen yogurt cone, vanilla",Ice cream and frozen dairy desserts,1,125.0,g,"Frozen yogurts, flavors other than chocolate",120.0,g
"Frozen yogurt cone, vanilla",Ice cream and frozen dairy desserts,1,125.0,g,"Ice cream cones, cake or wafer-type",5.0,g
"Frozen yogurt cone, vanilla, waffle cone",Ice cream and frozen dairy desserts,1,255.0,g,"Frozen yogurts, flavors other than chocolate",240.0,g
"Frozen yogurt cone, vanilla, waffle cone",Ice cream and frozen dairy desserts,1,255.0,g,"Ice cream cones, sugar, rolled-type",15.0,g
"Frozen yogurt cone, chocolate, waffle cone",Ice cream and frozen dairy desserts,1,255.0,g,"Frozen yogurts, chocolate",240.0,g
"Frozen yogurt cone, chocolate, waffle cone",Ice cream and frozen dairy desserts,1,255.0,g,"Ice cream cones, sugar, rolled-type",15.0,g
"Yogurt, whole milk, baby food",Baby food: yogurt,1,100.011,g,"Yogurt, plain, whole milk",100.0,g
"Yogurt, whole milk, baby food",Baby food: yogurt,1,100.011,g,Vitamin D as ingredient,0.011,g
